jd mag magerr frameid band
2460872.0262844786 18.58784 0.05249 gri1 g
2460872.0486847195 18.62266 0.05366 gri2 g
2460872.057324158 18.57877 0.05484 grz2 g
2460872.071512806 18.37814 0.0605 gri3 g
2460872.0800687335 18.59378 0.0599 grz3 g
2460872.08970752 18.5142 0.06638 grz4 g
2460872.096685419 18.67692 0.06355 grz5 g
2460872.106472954 18.61215 0.06168 gri4 g
2460872.1134525007 18.3538 0.0701 gri5 g
2460872.120429576 18.68292 0.06968 gri6 g
2460872.0262820683 17.94701 0.06156 gri1 r
2460872.048682316 18.00962 0.06257 gri2 r
2460872.0573216407 18.03191 0.06266 grz2 r
2460872.071512806 17.73585 0.06435 gri3 r
2460872.080066341 17.98165 0.05068 grz3 r
2460872.089705131 17.91916 0.07093 grz4 r
2460872.0966829145 18.12397 0.06977 grz5 r
2460872.1064704536 18.02902 0.06755 gri4 r
2460872.1134498846 17.74338 0.07262 gri5 r
2460872.1204270804 18.09731 0.07898 gri6 r
2460872.026283284 17.74624 0.08649 gri1 i
2460872.0486835036 17.82867 0.08834 gri2 i
2460872.071513964 17.48139 0.09634 gri3 i
2460872.106471681 17.81001 0.09335 gri4 i
2460872.113451221 17.49494 0.10073 gri5 i
2460872.120428406 17.92316 0.10872 gri6 i
2460872.057322934 17.75266 0.08092 grz2 z
2460872.0800674865 17.67514 0.08327 grz3 z
2460872.089706381 17.55039 0.0932 grz4 z
2460872.096684156 17.77732 0.09746 grz5 z
