jd mag magerr frameid band
2460872.040429648 16.8921 0.06351 grz1 g
2460872.0424230476 16.86041 0.06719 gri1 g
2460872.062813134 16.88196 0.06487 grz2 g
2460872.064877849 16.8929 0.07007 gri2 g
2460872.0404272433 16.33024 0.0558 grz1 r
2460872.042420526 16.31761 0.0591 gri1 r
2460872.062813134 16.31867 0.04833 grz2 r
2460872.064877849 16.34121 0.04794 gri2 r
2460872.042421835 16.15736 0.07034 gri1 i
2460872.0648791287 16.16253 0.07267 gri2 i
2460872.0404283195 16.1714 0.06652 grz1 z
2460872.062814299 16.17452 0.0599 grz2 z
