 target objtype jd band frameid radius flux fluxerr instmag instmagerr elapsed_min
0 3I ref 2460872.0262844786 g gri1 5 5625.176474609375 118.67298008472329 -9.375340379512643 0.02290551266899978 0.003470778465270996
1 3I ref 2460872.0262844786 g gri1 6 6673.294731445314 140.73381244813388 -9.56085076560126 0.022897204687898687 0.003470778465270996
2 3I ref 2460872.0262844786 g gri1 7 7290.111186523439 162.34271749413503 -9.656835380234359 0.02417814508618766 0.003470778465270996
3 3I ref 2460872.0262844786 g gri1 8 7604.530820312498 183.79314340802293 -9.702681060951186 0.0262410495400153 0.003470778465270996
4 3I ref 2460872.0262844786 g gri1 9 7681.140659179687 205.17212464911563 -9.71356429526212 0.029001266064887135 0.003470778465270996
5 3I ref 2460872.0262844786 g gri1 10 7421.881806640626 226.46892197797663 -9.67628508483638 0.03312980646283408 0.003470778465270996
6 3I ref 2460872.0262844786 g gri1 11 6909.357534179688 247.81050483578412 -9.598594166072088 0.038940934187963405 0.003470778465270996
7 3I ref 2460872.0262844786 g gri1 12 6264.608764648438 269.05319887499905 -9.492234884390935 0.046630333991969426 0.003470778465270996
8 3I ref 2460872.0262820683 r gri1 5 7226.952412109376 137.70466479690438 -9.647387987484668 0.020687965218030634 0.0
9 3I ref 2460872.0262820683 r gri1 6 8449.809384765626 163.318707860176 -9.817117280043409 0.02098521114071588 0.0
10 3I ref 2460872.0262820683 r gri1 7 9227.72666992187 188.5711077331632 -9.912736805026109 0.022187315051776933 0.0
11 3I ref 2460872.0262820683 r gri1 8 9539.638779296874 213.39598089483474 -9.948829825877597 0.024287265772601208 0.0
12 3I ref 2460872.0262820683 r gri1 9 9458.255454101562 238.36758281133575 -9.939527598793697 0.02736279602035052 0.0
13 3I ref 2460872.0262820683 r gri1 10 9074.392690429684 263.24549275567244 -9.894543923107605 0.03149689152483589 0.0
14 3I ref 2460872.0262820683 r gri1 11 8409.65390625 288.03721106780074 -9.811945307658071 0.03718731256484284 0.0
15 3I ref 2460872.0262820683 r gri1 12 7607.352968750001 312.933925853158 -9.703083918192464 0.044662538256286244 0.0
16 3I ref 2460872.026283284 i gri1 5 7202.475814208987 135.36532884688336 -9.64370452150358 0.020405627479943494 0.0017508119344711304
17 3I ref 2460872.026283284 i gri1 6 8279.730350341793 160.2040207382496 -9.795040482884444 0.021007846645169966 0.0017508119344711304
18 3I ref 2460872.026283284 i gri1 7 8905.065584716798 184.68984377533636 -9.874092805841704 0.022518020572712343 0.0017508119344711304
19 3I ref 2460872.026283284 i gri1 8 9110.676466064455 209.03063672008895 -9.898876561140497 0.024910568500154558 0.0017508119344711304
20 3I ref 2460872.026283284 i gri1 9 8975.324271240228 233.4320750695256 -9.882625370609517 0.02823804996850324 0.0017508119344711304
21 3I ref 2460872.026283284 i gri1 10 8519.581820068359 257.70192977780755 -9.826045695339907 0.032841555032281824 0.0017508119344711304
22 3I ref 2460872.026283284 i gri1 11 7864.438151855469 282.0748268497234 -9.739169253423446 0.038942241778501245 0.0017508119344711304
23 3I ref 2460872.026283284 i gri1 12 7024.55678466797 306.3361349542939 -9.616547318935558 0.047348216085532045 0.0017508119344711304
24 3I ref 2460872.0486847195 g gri2 5 5273.601665039062 111.66941883700102 -9.305268307003043 0.022990650165977865 32.25981764495373
25 3I ref 2460872.0486847195 g gri2 6 6322.7080078125 132.37726208534423 -9.502257814756081 0.022731839894428365 32.25981764495373
26 3I ref 2460872.0486847195 g gri2 7 7140.944604492189 152.83069200092132 -9.634389160177232 0.02323695599028371 32.25981764495373
27 3I ref 2460872.0486847195 g gri2 8 7829.210283203124 173.18550933644636 -9.734294894626371 0.024016953284479618 32.25981764495373
28 3I ref 2460872.0486847195 g gri2 9 8384.122055664062 193.61090632580377 -9.808643980312016 0.02507243683218424 32.25981764495373
29 3I ref 2460872.0486847195 g gri2 10 8853.56994628906 213.94548897322844 -9.867796056787896 0.026236689226166676 32.25981764495373
30 3I ref 2460872.0486847195 g gri2 11 9219.752543945315 234.3050744521377 -9.911798162113122 0.027592226697916875 32.25981764495373
31 3I ref 2460872.0486847195 g gri2 12 9448.116293945313 254.6181925496571 -9.938363075587496 0.02925960915811304 32.25981764495373
32 3I ref 2460872.048682316 r gri2 5 6557.806059570313 131.89774671147762 -9.54189642176662 0.02183751053779289 32.25635692477226
33 3I ref 2460872.048682316 r gri2 6 7776.990288085939 156.4377350250848 -9.727028891520087 0.0218400829132187 32.25635692477226
34 3I ref 2460872.048682316 r gri2 7 8705.048403320312 180.80211144848883 -9.849427975748963 0.022550523466528208 32.25635692477226
35 3I ref 2460872.048682316 r gri2 8 9440.782617187506 205.1149148191082 -9.937519994282706 0.023589219049440426 32.25635692477226
36 3I ref 2460872.048682316 r gri2 9 10075.692377929689 229.37470160275205 -10.008187248839931 0.024716953301513186 32.25635692477226
37 3I ref 2460872.048682316 r gri2 10 10618.649199218748 253.61777167239862 -10.06517318389811 0.025931923327409977 32.25635692477226
38 3I ref 2460872.048682316 r gri2 11 11057.409921875003 277.8968452998417 -10.109133525294705 0.027286920559326074 32.25635692477226
39 3I ref 2460872.048682316 r gri2 12 11327.277558593745 302.1035423161203 -10.135313856001636 0.02895706861437696 32.25635692477226
40 3I ref 2460872.0486835036 i gri2 5 6452.996518554688 132.47260678211217 -9.524403577004254 0.0222889172353437 32.25806683301926
41 3I ref 2460872.0486835036 i gri2 6 7620.780621337891 157.11819661166643 -9.70499864953518 0.022384703479056984 32.25806683301926
42 3I ref 2460872.0486835036 i gri2 7 8530.959001464842 181.52344269488373 -9.82749463701429 0.023102510950097323 32.25806683301926
43 3I ref 2460872.0486835036 i gri2 8 9328.0231640625 206.0239067042148 -9.924474039724105 0.023980173571637835 32.25806683301926
44 3I ref 2460872.0486835036 i gri2 9 9991.877709960936 230.5577384012394 -9.99911777523111 0.025052837027802054 32.25806683301926
45 3I ref 2460872.0486835036 i gri2 10 10593.184703369143 254.9926789285716 -10.062566361829973 0.02613517947751467 32.25806683301926
46 3I ref 2460872.0486835036 i gri2 11 11110.889530029295 279.51020835108886 -10.114372074111536 0.02731323644124694 32.25806683301926
47 3I ref 2460872.0486835036 i gri2 12 11499.869998779297 303.94974478210827 -10.151732327159701 0.02869678025681669 32.25806683301926
48 3I ref 2460872.071512806 g gri3 5 6090.360092773438 117.72882505650941 -9.461607427674641 0.020987666699569533 65.13226255774498
49 3I ref 2460872.071512806 g gri3 6 7540.109238281251 139.81511366630394 -9.693444094528248 0.020132643451526742 65.13226255774498
50 3I ref 2460872.071512806 g gri3 7 8848.550927734379 161.64172627806735 -9.86718038702245 0.01983378700682204 65.13226255774498
51 3I ref 2460872.071512806 g gri3 8 9939.059531250003 183.28101697022694 -9.993363229677401 0.02002149550908642 65.13226255774498
52 3I ref 2460872.071512806 g gri3 9 10819.06625488281 204.68086238541989 -10.085474450944233 0.020540536260481003 65.13226255774498
53 3I ref 2460872.071512806 g gri3 10 11661.851093750001 226.14357957269064 -10.166918729401047 0.021054313748463192 65.13226255774498
54 3I ref 2460872.071512806 g gri3 11 12345.90357421875 247.63179019343275 -10.228807201635187 0.02177749068310642 65.13226255774498
55 3I ref 2460872.071512806 g gri3 12 12961.27439453125 269.0833595864512 -10.281619262189576 0.022540495379391772 65.13226255774498
56 3I ref 2460872.071512806 r gri3 5 7949.356030273439 132.9275968802934 -9.750829870752355 0.01815547120984389 65.13226255774498
57 3I ref 2460872.071512806 r gri3 6 9779.336181640627 157.7755368795757 -9.97577344002758 0.017516793515791405 65.13226255774498
58 3I ref 2460872.071512806 r gri3 7 11357.489697265626 182.26451893629164 -10.138205878811812 0.017423849136275142 65.13226255774498
59 3I ref 2460872.071512806 r gri3 8 12732.155942382815 206.76522751194113 -10.262254872960225 0.017631930869419787 65.13226255774498
60 3I ref 2460872.071512806 r gri3 9 13909.078061523442 231.01284776020918 -10.35824586127372 0.018032756122878874 65.13226255774498
61 3I ref 2460872.071512806 r gri3 10 14975.64000488281 255.3768281128003 -10.43846347909738 0.018514859334756738 65.13226255774498
62 3I ref 2460872.071512806 r gri3 11 15884.745981445312 279.5109981397059 -10.502450685657575 0.01910481984810112 65.13226255774498
63 3I ref 2460872.071512806 r gri3 12 16694.23003906251 303.67864678288055 -10.556415983977985 0.01975023110695346 65.13226255774498
64 3I ref 2460872.071513964 i gri3 5 8473.141677246094 134.38793427031092 -9.820111170487813 0.017220276879325754 65.13392955064774
65 3I ref 2460872.071513964 i gri3 6 10394.609284667971 159.32111882039052 -10.04202042399514 0.016641386140508044 65.13392955064774
66 3I ref 2460872.071513964 i gri3 7 12025.21820800781 183.98695835500558 -10.200232414417975 0.016611865035125198 65.13392955064774
67 3I ref 2460872.071513964 i gri3 8 13495.45052246094 208.5660453550987 -10.325468468276696 0.016779558870478023 65.13392955064774
68 3I ref 2460872.071513964 i gri3 9 14795.22705322266 233.0453165332989 -10.425304085993245 0.017101848900278112 65.13392955064774
69 3I ref 2460872.071513964 i gri3 10 16027.878522949217 257.52012983078896 -10.512190105518957 0.017444537529465492 65.13392955064774
70 3I ref 2460872.071513964 i gri3 11 17179.98633544922 282.0662763784773 -10.587557035169759 0.017825949475495772 65.13392955064774
71 3I ref 2460872.071513964 i gri3 12 18149.895383300784 306.30746090535007 -10.647185315222874 0.0183234720128724 65.13392955064774
72 3I ref 2460872.106472954 g gri4 5 5664.757026367188 126.83825752741619 -9.382953216932354 0.024310466928228778 115.47487556934357
73 3I ref 2460872.106472954 g gri4 6 6698.119658203124 150.49978466943693 -9.564882254259675 0.024395363678490274 115.47487556934357
74 3I ref 2460872.106472954 g gri4 7 7479.703007812501 174.04748780920482 -9.6847108848253 0.025264326493214407 115.47487556934357
75 3I ref 2460872.106472954 g gri4 8 7989.458823242188 197.48685859579075 -9.756293406970988 0.02683769164910551 115.47487556934357
76 3I ref 2460872.106472954 g gri4 9 8133.334638671876 220.7486541497349 -9.77567160330011 0.029468209118361753 115.47487556934357
77 3I ref 2460872.106472954 g gri4 10 8195.677104492186 243.98905157821946 -9.783962099036266 0.03232286283190332 115.47487556934357
78 3I ref 2460872.106472954 g gri4 11 8124.587700195312 267.33005179632255 -9.77450332748932 0.03572487941119226 115.47487556934357
79 3I ref 2460872.106472954 g gri4 12 7844.02495605469 290.49235671790655 -9.736347416804639 0.040208702886735885 115.47487556934357
80 3I ref 2460872.1064704536 r gri4 5 6784.3805566406245 137.98644497628158 -9.578775502091881 0.02208261724498518 115.47127470374107
81 3I ref 2460872.1064704536 r gri4 6 7995.273754882814 163.87372405144438 -9.757083346002881 0.022253601398268076 115.47127470374107
82 3I ref 2460872.1064704536 r gri4 7 8830.219272460936 189.43490169980552 -9.864928720336177 0.023292324332389456 115.47127470374107
83 3I ref 2460872.1064704536 r gri4 8 9356.791938476565 214.7791772885463 -9.927817431077887 0.02492238048506904 115.47127470374107
84 3I ref 2460872.1064704536 r gri4 9 9583.743090820311 239.96355152943974 -9.953837907924404 0.02718531926919123 115.47127470374107
85 3I ref 2460872.1064704536 r gri4 10 9606.510073242192 265.2225628732512 -9.956414106213664 0.02997568697005917 115.47127470374107
86 3I ref 2460872.1064704536 r gri4 11 9471.686391601557 290.5340539270609 -9.941068275217681 0.03330382025142439 115.47127470374107
87 3I ref 2460872.1064704536 r gri4 12 9164.679692382813 315.83711824520236 -9.905293227184064 0.03741710628144524 115.47127470374107
88 3I ref 2460872.106471681 i gri4 5 6900.607868652344 139.46685279580916 -9.597218372630671 0.02194360472676083 115.47304227948189
89 3I ref 2460872.106471681 i gri4 6 8084.071767578126 165.48899144065518 -9.769075400939439 0.022226100245255044 115.47304227948189
90 3I ref 2460872.106471681 i gri4 7 8913.23620361328 191.19877574108398 -9.875088539046624 0.023290242554479937 115.47304227948189
91 3I ref 2460872.106471681 i gri4 8 9402.284660644531 216.71831377911369 -9.933083489039667 0.02502571747152213 115.47304227948189
92 3I ref 2460872.106471681 i gri4 9 9547.229055175778 242.2672021927458 -9.94969335548672 0.027551268658786706 115.47304227948189
93 3I ref 2460872.106471681 i gri4 10 9473.196081542974 267.80084566187463 -9.941241316674459 0.03069302812874774 115.47304227948189
94 3I ref 2460872.106471681 i gri4 11 9202.627619628904 293.2913410970951 -9.909779622106408 0.03460283744307618 115.47304227948189
95 3I ref 2460872.106471681 i gri4 12 8828.298107910154 318.8386111737083 -9.864692474237891 0.03921193183496177 115.47304227948189
96 3I ref 2460872.1134525007 g gri5 5 6376.301328125 129.08013484399677 -9.511422081372313 0.021979352684764024 125.52542254328728
97 3I ref 2460872.1134525007 g gri5 6 7952.353964843749 153.5260373947095 -9.751239256427485 0.020960935329261556 125.52542254328728
98 3I ref 2460872.1134525007 g gri5 7 9352.700097656245 177.63226448682894 -9.92734252135987 0.02062097348067992 125.52542254328728
99 3I ref 2460872.1134525007 g gri5 8 10505.811835937502 201.71871981708077 -10.053574045292548 0.02084687225538166 125.52542254328728
100 3I ref 2460872.1134525007 g gri5 9 11432.33708984375 225.47879288404476 -10.145337553562587 0.021413862005245768 125.52542254328728
101 3I ref 2460872.1134525007 g gri5 10 12180.540488281253 249.40964276461193 -10.214166399286915 0.022231614370959753 125.52542254328728
102 3I ref 2460872.1134525007 g gri5 11 12755.171542968756 273.11708772462 -10.264215759415436 0.023248069168006202 125.52542254328728
103 3I ref 2460872.1134525007 g gri5 12 13049.917363281249 296.7946283449011 -10.289019403939662 0.024692928269299697 125.52542254328728
104 3I ref 2460872.1134498846 r gri5 5 8051.241049804689 135.65422273693625 -9.764657073447461 0.018293415889887935 125.52165538072586
105 3I ref 2460872.1134498846 r gri5 6 9979.290776367188 161.05599287762277 -9.997749193184601 0.017522720439674292 125.52165538072586
106 3I ref 2460872.1134498846 r gri5 7 11628.83677734375 186.22659541069004 -10.163840686983113 0.017387203965246043 125.52165538072586
107 3I ref 2460872.1134498846 r gri5 8 12958.896367187503 211.14050785775567 -10.281420042021317 0.01769000130695055 125.52165538072586
108 3I ref 2460872.1134498846 r gri5 9 14049.14320800781 235.8844558318594 -10.369124598613343 0.018229459978053437 125.52165538072586
109 3I ref 2460872.1134498846 r gri5 10 14980.236879882816 260.5277415322013 -10.43879670210231 0.018882505236298495 125.52165538072586
110 3I ref 2460872.1134498846 r gri5 11 15630.60828125 285.1939013816646 -10.484939698414886 0.019810191550749427 125.52165538072586
111 3I ref 2460872.1134498846 r gri5 12 16101.160180664061 309.72498424091833 -10.517142926400584 0.020885428449581262 125.52165538072586
112 3I ref 2460872.113451221 i gri5 5 8415.120000000006 136.45317469028208 -9.812650783538444 0.017605471106226032 125.52357986569405
113 3I ref 2460872.113451221 i gri5 6 10430.921074218753 161.9174285781743 -10.045806648292807 0.016853699988505506 125.52357986569405
114 3I ref 2460872.113451221 i gri5 7 12142.685178222655 187.10630845445095 -10.210786838169364 0.016730079899623537 125.52357986569405
115 3I ref 2460872.113451221 i gri5 8 13585.658010253906 212.03184816587668 -10.332701694904955 0.016945123595906594 125.52357986569405
116 3I ref 2460872.113451221 i gri5 9 14803.343532714849 236.90973109705007 -10.425899544198575 0.017375903743848817 125.52357986569405
117 3I ref 2460872.113451221 i gri5 10 15749.585068359378 261.60118800485554 -10.49317279136236 0.018034118346090304 125.52357986569405
118 3I ref 2460872.113451221 i gri5 11 16531.98681640625 286.3435890506318 -10.545812625693621 0.018805580060354595 125.52357986569405
119 3I ref 2460872.113451221 i gri5 12 17138.508859863276 310.97609566916344 -10.584932583334293 0.019700547383854024 125.52357986569405
120 3I ref 2460872.120429576 g gri6 5 4935.71908203125 128.18172355662463 -9.233376084311598 0.02819681098958545 135.57241089642048
121 3I ref 2460872.120429576 g gri6 6 6070.871660156247 152.74119779957542 -9.458127629672449 0.02731677717674789 135.57241089642048
122 3I ref 2460872.120429576 g gri6 7 7022.4463671875 177.04629672800073 -9.616221077578855 0.027373021341126708 135.57241089642048
123 3I ref 2460872.120429576 g gri6 8 7735.940068359373 201.16283692682705 -9.7212827413373 0.02823312657198904 135.57241089642048
124 3I ref 2460872.120429576 g gri6 9 8149.597197265625 225.1895036079545 -9.77784035947941 0.030001040674832582 135.57241089642048
125 3I ref 2460872.120429576 g gri6 10 8399.749062500001 249.13747214960142 -9.810665779916786 0.03220305409864646 135.57241089642048
126 3I ref 2460872.120429576 g gri6 11 8536.250273437498 273.140791381485 -9.828167849095008 0.03474111427144731 135.57241089642048
127 3I ref 2460872.120429576 g gri6 12 8626.490673828122 297.0587409211482 -9.839585392835575 0.03738802279546544 135.57241089642048
128 3I ref 2460872.1204270804 r gri6 5 6047.578935546875 134.6756094815437 -9.453953864163424 0.024178631923678483 135.56881740689278
129 3I ref 2460872.1204270804 r gri6 6 7351.933710937502 160.22712126476574 -9.66600395639677 0.02366239868057023 135.56881740689278
130 3I ref 2460872.1204270804 r gri6 7 8360.180566406252 185.42267650039813 -9.805539144000347 0.024080833118437905 135.56881740689278
131 3I ref 2460872.1204270804 r gri6 8 9062.543173828128 210.47997446666812 -9.893125221391944 0.02521651199577085 135.56881740689278
132 3I ref 2460872.1204270804 r gri6 9 9565.132001953123 235.48340801128305 -9.951727419526758 0.026729674158754338 135.56881740689278
133 3I ref 2460872.1204270804 r gri6 10 9686.956787109373 260.2222630212008 -9.965468405953548 0.029166304594460686 135.56881740689278
134 3I ref 2460872.1204270804 r gri6 11 9768.946796875001 285.0801704560308 -9.974619360944555 0.03168426123701941 135.56881740689278
135 3I ref 2460872.1204270804 r gri6 12 9737.309423828126 309.93585759075376 -9.971097427153474 0.034558682187460575 135.56881740689278
136 3I ref 2460872.1204284066 i gri6 5 5864.579475097657 134.3340139422596 -9.420592190237006 0.024869865450184873 135.57072713971138
137 3I ref 2460872.1204284066 i gri6 6 7107.270847167967 159.90717287784446 -9.629257165132437 0.024428083680414978 135.57072713971138
138 3I ref 2460872.1204284066 i gri6 7 8056.760717773437 185.1395014027394 -9.765401163704334 0.02494956306203598 135.57072713971138
139 3I ref 2460872.1204284066 i gri6 8 8645.280620117184 210.06101143521892 -9.841947736879233 0.026380964984828587 135.57072713971138
140 3I ref 2460872.1204284066 i gri6 9 8948.121120605469 234.89398940056003 -9.879329635045217 0.028501280339732787 135.57072713971138
141 3I ref 2460872.1204284066 i gri6 10 9036.40040039063 259.7094804469194 -9.889988665356205 0.031204458982135683 135.57072713971138
142 3I ref 2460872.1204284066 i gri6 11 8988.992036132811 284.5006130454593 -9.884277489152906 0.03436343191958462 135.57072713971138
143 3I ref 2460872.1204284066 i gri6 12 8822.778671875001 309.3751380102807 -9.864013461642422 0.03807188196396406 135.57072713971138
144 3I ref 2460872.1294925483 g gri7 5 7737.0521874999995 133.3639476010466 -9.721438815611377 0.01871488815260397 148.62309113144875
145 3I ref 2460872.1294925483 g gri7 6 10161.245673828125 159.019568505015 -10.017367379148377 0.01699135207759083 148.62309113144875
146 3I ref 2460872.1294925483 g gri7 7 12567.477792968752 184.36652096774958 -10.24812031623036 0.015927890230446835 148.62309113144875
147 3I ref 2460872.1294925483 g gri7 8 14844.034091796875 209.4649626627151 -10.428879857768774 0.015320881923661083 148.62309113144875
148 3I ref 2460872.1294925483 g gri7 9 16969.144013671877 234.31314259365448 -10.574149838629346 0.014992050392147967 148.62309113144875
149 3I ref 2460872.1294925483 g gri7 10 18880.522744140628 259.03275418974215 -10.69003503604825 0.014895839657262475 148.62309113144875
150 3I ref 2460872.1294925483 g gri7 11 20617.79334960938 283.7079989725884 -10.785605456033878 0.014940107354886132 148.62309113144875
151 3I ref 2460872.1294925483 g gri7 12 22163.845869140623 308.16436100588436 -10.864112803366112 0.0150959903680839 148.62309113144875
152 3I ref 2460872.129490056 r gri7 5 9016.358403320315 140.68228842700464 -9.887577916837207 0.016940747814236833 148.61950233578682
153 3I ref 2460872.129490056 r gri7 6 11774.149487304685 167.65012090102 -10.177323863533974 0.015459613978111936 148.61950233578682
154 3I ref 2460872.129490056 r gri7 7 14515.165073242188 194.4072509470377 -10.40455494798908 0.014541687246106608 148.61950233578682
155 3I ref 2460872.129490056 r gri7 8 17179.508959960942 220.8494279025666 -10.587526865701523 0.013957571210724638 148.61950233578682
156 3I ref 2460872.129490056 r gri7 9 19652.55557128907 247.05243593636447 -10.733547582496602 0.013648798661160842 148.61950233578682
157 3I ref 2460872.129490056 r gri7 10 21941.860639648447 273.02704427793446 -10.853183630939682 0.013510036897919329 148.61950233578682
158 3I ref 2460872.129490056 r gri7 11 24179.461542968755 298.97803331976667 -10.9586165631149 0.013425082879773563 148.61950233578682
159 3I ref 2460872.129490056 r gri7 12 26205.968540039055 324.97419604124167 -11.046000538299293 0.01346396526863938 148.61950233578682
160 3I ref 2460872.129491253 i gri7 5 8741.791152343749 138.81157072431498 -9.854001066677805 0.017240488287611978 148.6212256550789
161 3I ref 2460872.129491253 i gri7 6 11355.119191894531 165.36178985296345 -10.137979243155215 0.015811307577918335 148.6212256550789
162 3I ref 2460872.129491253 i gri7 7 14005.477626953125 191.77289623422246 -10.365744810248685 0.014866667319657571 148.6212256550789
163 3I ref 2460872.129491253 i gri7 8 16659.14815185546 217.93563213721058 -10.554131976109243 0.014203643785463576 148.6212256550789
164 3I ref 2460872.129491253 i gri7 9 19232.247695312497 243.9410638157502 -10.71007510927358 0.013771434780164928 148.6212256550789
165 3I ref 2460872.129491253 i gri7 10 21643.63049072266 269.7690775783774 -10.838325277158704 0.013532759884096014 148.6212256550789
166 3I ref 2460872.129491253 i gri7 11 23890.832343749997 295.4930678936779 -10.945578201499085 0.013428896802381554 148.6212256550789
167 3I ref 2460872.129491253 i gri7 12 25928.765307617192 321.0626311892414 -11.03445459187946 0.01344411577417686 148.6212256550789
168 3I ref 2460872.0350378333 g grz1 5 21499.250263671875 136.60060693355607 -10.83105828792535 0.006898483562020075 12.608301490545273
169 3I ref 2460872.0350378333 g grz1 6 27233.9713671875 160.1039386589629 -11.087777441313056 0.006382860596521313 12.608301490545273
170 3I ref 2460872.0350378333 g grz1 7 32574.00715332032 182.74030000826582 -11.282177968528284 0.006090984104395411 12.608301490545273
171 3I ref 2460872.0350378333 g grz1 8 37463.35464843749 204.6946223385134 -11.434016658977788 0.005932313442770814 12.608301490545273
172 3I ref 2460872.0350378333 g grz1 9 42118.7509814453 226.41575545405493 -11.561188709589118 0.005836540193996389 12.608301490545273
173 3I ref 2460872.0350378333 g grz1 10 46609.74927246094 248.01173224477643 -11.67119191685305 0.005777231611542534 12.608301490545273
174 3I ref 2460872.0350378333 g grz1 11 51065.59628906251 269.5382825463883 -11.770321018741967 0.0057308147401701984 12.608301490545273
175 3I ref 2460872.0350378333 g grz1 12 55418.17280761719 290.9516853538501 -11.859130506401034 0.0057002380739021915 12.608301490545273
176 3I ref 2460872.035035426 r grz1 5 21752.501440429696 154.38269783874028 -10.843773015216255 0.007705729149853758 12.604834735393524
177 3I ref 2460872.035035426 r grz1 6 27049.529467773442 181.45243929143757 -11.08039928716221 0.007283286868819866 12.604834735393524
