 target objtype jd band frameid radius flux fluxerr instmag instmagerr elapsed_min
0 Popescu ref 2460872.0424230476 g gri1 5 32289.289511718747 181.61641824252604 -11.272646222442662 0.006106901813148912 2.8739581257104874
1 Popescu ref 2460872.0424230476 g gri1 6 35483.61042480469 209.28471211217735 -11.375069506182527 0.0064037448929867135 2.8739581257104874
2 Popescu ref 2460872.0424230476 g gri1 7 37312.81795410156 236.54817094221377 -11.429645123118181 0.006883128303983934 2.8739581257104874
3 Popescu ref 2460872.0424230476 g gri1 8 38372.92450683593 263.73802988456055 -11.460062248111837 0.007462290958986907 2.8739581257104874
4 Popescu ref 2460872.0424230476 g gri1 9 39053.524013671864 291.2918561682951 -11.479150571886619 0.008098273392239768 2.8739581257104874
5 Popescu ref 2460872.0424230476 g gri1 10 39475.443691406246 319.0900748980412 -11.490817550098328 0.008776282531593375 2.8739581257104874
6 Popescu ref 2460872.0424230476 g gri1 11 39942.07155761717 347.30087422338596 -11.503576463474385 0.009440600308988453 2.8739581257104874
7 Popescu ref 2460872.0424230476 g gri1 12 40520.933476562495 375.75619571602255 -11.519198604001605 0.010068181328720878 2.8739581257104874
8 Popescu ref 2460872.042420526 r gri1 5 36586.75694335938 190.07829189350807 -11.40830978813139 0.005640698998461603 2.8703270852565765
9 Popescu ref 2460872.042420526 r gri1 6 39836.45621093749 218.5553673730861 -11.500701743274202 0.005956691374470754 2.8703270852565765
10 Popescu ref 2460872.042420526 r gri1 7 41566.96885742188 246.5474459033425 -11.54687089019915 0.006439860677021904 2.8703270852565765
11 Popescu ref 2460872.042420526 r gri1 8 42669.384287109366 274.7220119148926 -11.575290940248813 0.006990389937970202 2.8703270852565765
12 Popescu ref 2460872.042420526 r gri1 9 43273.63791503907 303.30058865161476 -11.590558517174927 0.007609816181159714 2.8703270852565765
13 Popescu ref 2460872.042420526 r gri1 10 43870.32011718749 332.1499154291329 -11.605427008546034 0.00822029991177279 2.8703270852565765
14 Popescu ref 2460872.042420526 r gri1 11 44552.07156738281 361.5007861809207 -11.622169756306345 0.00880979217793553 2.8703270852565765
15 Popescu ref 2460872.042420526 r gri1 12 45810.610512695304 391.2784923429216 -11.652415199017154 0.009273511540784998 2.8703270852565765
16 Popescu ref 2460872.042421835 i gri1 5 33523.280651855464 156.09579841519633 -11.313366282300155 0.005055557107016759 2.8722120076417923
17 Popescu ref 2460872.042421835 i gri1 6 36322.870844726574 176.33930682808372 -11.400450416166576 0.005271003235500014 2.8722120076417923
18 Popescu ref 2460872.042421835 i gri1 7 37865.041600341785 196.19928404884482 -11.445596095743845 0.005625787191464017 2.8722120076417923
19 Popescu ref 2460872.042421835 i gri1 8 38728.78737670899 216.026396453868 -11.47008474789714 0.006056158627740865 2.8722120076417923
20 Popescu ref 2460872.042421835 i gri1 9 39378.70163085937 236.35605179649022 -11.488153481901833 0.0065167288920474475 2.8722120076417923
21 Popescu ref 2460872.042421835 i gri1 10 40053.80365478517 257.1717390889345 -11.506609411403092 0.006971139879148768 2.8722120076417923
22 Popescu ref 2460872.042421835 i gri1 11 40990.58852172852 278.3974612587971 -11.531710384343604 0.007374039112446454 2.8722120076417923
